UTCDateTime,mac_address,firmware_ver,hardware,current_temp_f,current_humidity,current_dewpoint_f,pressure,adc,mem,rssi,uptime,pm1_0_cf_1,pm2_5_cf_1,pm10_0_cf_1,pm1_0_atm,pm2_5_atm,pm10_0_atm,pm2.5_aqi_cf_1,pm2.5_aqi_atm,p_0_3_um,p_0_5_um,p_1_0_um,p_2_5_um,p_5_0_um,p_10_0_um,pm1_0_cf_1_b,pm2_5_cf_1_b,pm10_0_cf_1_b,pm1_0_atm_b,pm2_5_atm_b,pm10_0_atm_b,pm2.5_aqi_cf_1_b,pm2.5_aqi_atm_b,p_0_3_um_b,p_0_5_um_b,p_1_0_um_b,p_2_5_um_b,p_5_0_um_b,p_10_0_um_b,gas
2021/06/03T11:30:34z,10:52:1c:4d:af:f9,6.01,2.0+OPENLOG+15485 MB+DS3231+BME280+PMSX003-B+PMSX003-A,86,33,54,995.98,nan,36656,0,116,10.6,14.86,15.86,10.6,14.86,15.86,57,57,2188.79,615.95,98.29,4.21,1.19,1.19,8.5,12.4,14.2,8.5,12.4,14.2,52,52,1874.93,529.58,85.28,6.8,2.5,0.45,
2021/06/03T11:32:34z,10:52:1c:4d:af:f9,6.01,2.0+OPENLOG+15485 MB+DS3231+BME280+PMSX003-B+PMSX003-A,87,33,54,995.98,0.02,36568,0,236,9.91,14.18,14.98,9.91,14.18,14.98,55,55,2189.13,590.55,92.11,4.02,1.16,0.4,7.13,10.87,11.55,7.13,10.87,11.55,45,45,1646.35,455.15,83.28,4.97,0.9,0.47,
2021/06/03T11:34:34z,10:52:1c:4d:af:f9,6.01,2.0+OPENLOG+15485 MB+DS3231+BME280+PMSX003-B+PMSX003-A,87,32,53,995.97,0.01,36568,0,356,10.46,15.22,15.61,10.46,15.22,15.61,58,58,2199.86,614.8,98.76,5.08,0.44,0.25,7.93,11.54,11.54,7.93,11.54,11.54,48,48,1632,465.89,81.65,3.72,0,0,
2021/06/03T11:36:34z,10:52:1c:4d:af:f9,6.01,2.0+OPENLOG+15485 MB+DS3231+BME280+PMSX003-B+PMSX003-A,87,32,53,995.95,0.01,36568,0,476,9.82,14.25,14.51,9.82,14.25,14.51,56,56,2144.89,585.91,98.07,2.96,0.39,0.09,7.88,13.04,13.77,7.88,13.04,13.77,53,53,1723.29,484.88,95.46,10.18,0.5,0.5,
2021/06/03T11:38:34z,10:52:1c:4d:af:f9,6.01,2.0+OPENLOG+15485 MB+DS3231+BME280+PMSX003-B+PMSX003-A,88,31,54,995.91,0.01,36504,0,596,9.67,13.6,14.47,9.67,13.6,14.47,54,54,2090.05,571.18,95.07,3.26,1.39,0.37,7.02,10.33,10.72,7.02,10.33,10.72,43,43,1562.05,434.23,74.11,3.05,0.49,0.49,
2021/06/03T11:40:34z,10:52:1c:4d:af:f9,6.01,2.0+OPENLOG+15485 MB+DS3231+BME280+PMSX003-B+PMSX003-A,88,31,54,995.82,0.01,36504,0,716,9.58,14.15,14.55,9.58,14.15,14.55,55,55,2121.71,581.67,89,4.58,0.65,0.2,8.08,11.81,12.59,8.08,11.81,12.59,49,49,1666.53,478.85,82.75,7.15,1.29,0.68,
2021/06/03T11:42:34z,10:52:1c:4d:af:f9,6.01,2.0+OPENLOG+15485 MB+DS3231+BME280+PMSX003-B+PMSX003-A,88,31,54,995.87,0.01,36504,0,836,10.07,13.42,13.62,10.07,13.42,13.62,54,54,2134.35,585.83,83.57,2.4,0.37,0.17,7.74,11.51,12.79,7.74,11.51,12.79,48,48,1651.26,472.7,85.91,5.44,2.35,0.39,
2021/06/03T11:44:34z,10:52:1c:4d:af:f9,6.01,2.0+OPENLOG+15485 MB+DS3231+BME280+PMSX003-B+PMSX003-A,88,31,54,995.84,0.01,36504,0,956,9.88,13.93,14.9,9.88,13.93,14.9,55,55,2117.65,586.77,94.02,4.27,1.3,0.63,7.91,11.59,12.38,7.91,11.59,12.38,48,48,1642.82,464.18,87.23,5.07,1.14,0.39,
2021/06/03T11:46:34z,10:52:1c:4d:af:f9,6.01,2.0+OPENLOG+15485 MB+DS3231+BME280+PMSX003-B+PMSX003-A,88,31,54,995.83,0.01,36504,0,1076,9.43,13.6,14.38,9.43,13.6,14.38,54,54,2071.4,568.86,82.79,5.31,1.03,0.22,7.58,10.58,11.37,7.58,10.58,11.37,44,44,1510.53,439.56,76.02,5.19,1.22,0.81,
2021/06/03T11:48:34z,10:52:1c:4d:af:f9,6.01,2.0+OPENLOG+15485 MB+DS3231+BME280+PMSX003-B+PMSX003-A,89,31,54,995.8,0.01,36320,0,1196,9.44,13.55,15.38,9.44,13.55,15.38,54,54,2035.04,569.04,91.67,7.58,2.29,1.38,6.54,10.07,10.69,6.54,10.07,10.69,42,42,1506.71,421.15,65.97,5.05,0.44,0.44,
