UTCDateTime,mac_address,firmware_ver,hardware,current_temp_f,current_humidity,current_dewpoint_f,pressure,adc,mem,rssi,uptime,pm1_0_cf_1,pm2_5_cf_1,pm10_0_cf_1,pm1_0_atm,pm2_5_atm,pm10_0_atm,pm2.5_aqi_cf_1,pm2.5_aqi_atm,p_0_3_um,p_0_5_um,p_1_0_um,p_2_5_um,p_5_0_um,p_10_0_um,pm1_0_cf_1_b,pm2_5_cf_1_b,pm10_0_cf_1_b,pm1_0_atm_b,pm2_5_atm_b,pm10_0_atm_b,pm2.5_aqi_cf_1_b,pm2.5_aqi_atm_b,p_0_3_um_b,p_0_5_um_b,p_1_0_um_b,p_2_5_um_b,p_5_0_um_b,p_10_0_um_b,gas
2021/06/03T11:52:05z,10:52:1c:4d:aa:9c,6.01,2.0+OPENLOG+15485 MB+DS3231+BME280+PMSX003-B+PMSX003-A,86,41,59,1013.03,nan,36656,0,116,15.16,28.42,47.81,15.16,28.26,46.28,85,85,3124.95,878.35,222.63,46.07,28.07,10.98,10.95,27.41,39.77,10.95,27.26,39.77,83,83,2651.46,758.62,224.33,61.92,18.82,9.13,
2021/06/03T11:54:05z,10:52:1c:4d:aa:9c,6.01,2.0+OPENLOG+15485 MB+DS3231+BME280+PMSX003-B+PMSX003-A,86,40,59,1012.96,0.02,36568,0,236,14.8,28.2,42.37,14.8,27.85,41.48,85,84,2947.72,836.65,219.98,39.54,21.41,6.81,10.54,25.55,37.82,10.54,25.55,37.77,79,79,2529.75,716.73,211.04,56.18,18.27,8.66,
2021/06/03T11:57:30z,10:52:1c:4d:aa:9c,6.01,2.0+OPENLOG+15485 MB+DS3231+BME280+PMSX003-B+PMSX003-A,87,40,60,1012.91,nan,36656,0,116,14.27,25.95,40.29,14.27,25.95,40,80,80,2870.56,809.27,200.46,33.51,21.85,7.9,10.62,23.92,37.56,10.62,23.92,37.38,76,76,2456.92,696.59,207.95,50.97,20.59,7.97,
2021/06/03T11:59:30z,10:52:1c:4d:aa:9c,6.01,2.0+OPENLOG+15485 MB+DS3231+BME280+PMSX003-B+PMSX003-A,87,39,59,1012.96,0.02,36568,0,236,12.93,24.49,38.8,12.93,24.49,38.8,77,77,2658.16,745.84,197.35,35.67,20.6,7.67,9.81,20.72,32.04,9.81,20.72,32.04,69,69,2291.11,637.21,168.82,43.89,15.35,7.35,
2021/06/03T12:01:30z,10:52:1c:4d:aa:9c,6.01,2.0+OPENLOG+15485 MB+DS3231+BME280+PMSX003-B+PMSX003-A,87,39,59,1012.92,0.02,36568,0,356,12.05,22.16,32.07,12.05,22.16,32.07,72,72,2430.68,688.25,174.72,27.4,14.7,5.44,10.19,21.02,30.98,10.19,21.02,30.98,70,70,2371.58,665.18,169.6,41.04,15.46,7.21,
2021/06/03T12:03:30z,10:52:1c:4d:aa:9c,6.01,2.0+OPENLOG+15485 MB+DS3231+BME280+PMSX003-B+PMSX003-A,87,38,58,1012.93,0.02,36568,0,476,11.54,20.15,31.92,11.54,20.15,31.92,68,68,2388.81,664.22,153.86,29.05,16.51,6.44,9.58,20.2,29.62,9.58,20.2,29.62,68,68,2177.07,622.27,160.71,42.31,15.07,5.64,
2021/06/03T12:05:30z,10:52:1c:4d:aa:9c,6.01,2.0+OPENLOG+15485 MB+DS3231+BME280+PMSX003-B+PMSX003-A,87,38,58,1012.96,0.02,36568,0,596,11.65,21.14,32.56,11.65,21.14,32.56,70,70,2428.16,678.88,153.46,26.37,16.33,8.56,8.4,17.33,25.62,8.4,17.33,25.62,62,62,2026.9,561.93,140.37,34.38,13.42,5.05,
2021/06/03T12:07:30z,10:52:1c:4d:aa:9c,6.01,2.0+OPENLOG+15485 MB+DS3231+BME280+PMSX003-B+PMSX003-A,87,37,58,1012.98,0.02,36568,0,716,11.78,19.48,28.83,11.78,19.48,28.83,67,67,2403.56,663.24,139.98,23.59,13.81,4.93,8.02,15.81,21.62,8.02,15.81,21.62,59,59,1922.12,526.12,124.84,26.6,8.36,4.03,
2021/06/03T12:09:30z,10:52:1c:4d:aa:9c,6.01,2.0+OPENLOG+15485 MB+DS3231+BME280+PMSX003-B+PMSX003-A,87,37,58,1012.91,0.02,36568,0,836,10.31,16.59,24.83,10.31,16.59,24.83,60,60,2145.05,593.6,120.74,20.83,12,3.17,7.72,13.86,17.31,7.72,13.86,17.31,55,55,1824.41,504.24,110.52,16.47,4.95,1.95,
2021/06/03T12:11:30z,10:52:1c:4d:aa:9c,6.01,2.0+OPENLOG+15485 MB+DS3231+BME280+PMSX003-B+PMSX003-A,87,37,57,1013.03,0.02,36568,0,956,10.22,17.17,23.58,10.22,17.17,23.58,62,62,2129.08,580.75,126.98,17.02,9.46,4.2,8.22,15.04,20.8,8.22,15.04,20.8,57,57,1892.28,530.39,122.2,21.78,8.85,3.91,
2021/06/03T12:13:30z,10:52:1c:4d:aa:9c,6.01,2.0+OPENLOG+15485 MB+DS3231+BME280+PMSX003-B+PMSX003-A,87,37,57,1013.05,0.02,36568,0,1076,10.39,15.83,22.02,10.39,15.83,22.02,59,59,2057.08,579.61,104.29,14.47,8.47,3.25,7.45,14.75,21,7.45,14.75,21,57,57,1801.71,499.18,107.7,27.54,9.54,4.46,
