period,period_start,period_end,period_type
1,7:45,8:05,class
2,8:06,8:25,class
3,8:26,8:45,class
4,8:46,9:05,class
5,9:06,9:25,break
6,9:26,9:45,class
7,9:46,10:05,class
8,10:06,10:25,class
9,10:26,10:45,class
10,10:46,10:55,break
11,10:56,11:15,class
12,11:16,11:35,class
13,11:36,11:55,class
14,11:56,12:15,class
15,12:16,12:25,break
16,12:26,12:45,class
17,12:46,13:05,class
