UTCDateTime,mac_address,firmware_ver,hardware,current_temp_f,current_humidity,current_dewpoint_f,pressure,adc,mem,rssi,uptime,pm1_0_cf_1,pm2_5_cf_1,pm10_0_cf_1,pm1_0_atm,pm2_5_atm,pm10_0_atm,pm2.5_aqi_cf_1,pm2.5_aqi_atm,p_0_3_um,p_0_5_um,p_1_0_um,p_2_5_um,p_5_0_um,p_10_0_um,pm1_0_cf_1_b,pm2_5_cf_1_b,pm10_0_cf_1_b,pm1_0_atm_b,pm2_5_atm_b,pm10_0_atm_b,pm2.5_aqi_cf_1_b,pm2.5_aqi_atm_b,p_0_3_um_b,p_0_5_um_b,p_1_0_um_b,p_2_5_um_b,p_5_0_um_b,p_10_0_um_b,gas
2021/05/27T11:29:03z,10:52:1c:4d:86:b6,6.01,2.0+OPENLOG+15485 MB+DS3231+BME280+PMSX003-B+PMSX003-A,86,51,65,1006.89,nan,36656,0,116,24.67,34.98,37.62,22.12,32.45,37.62,99,94,4912.86,1373.67,207.93,14.02,3.71,1.93,23.63,35.11,36.66,21.68,32.66,36.66,99,94,4741.97,1293.92,209.05,21.55,1.92,1.05,
2021/05/27T11:31:03z,10:52:1c:4d:86:b6,6.01,2.0+OPENLOG+15485 MB+DS3231+BME280+PMSX003-B+PMSX003-A,86,49,64,1006.87,0,36568,0,236,23.95,32.95,34.09,22.04,31.33,34.09,95,91,4605.49,1294.4,201.29,10.07,1.55,1.31,21.53,31.02,32.67,20.6,30.11,32.67,91,89,4315.47,1186.33,215.95,11.53,2.49,1.09,
2021/05/27T11:33:03z,10:52:1c:4d:86:b6,6.01,2.0+OPENLOG+15485 MB+DS3231+BME280+PMSX003-B+PMSX003-A,87,48,65,1006.83,0,36568,0,356,23.97,32.91,34.48,22,31.34,34.48,95,91,4706.12,1308.12,193.03,9.95,2.14,1.21,21.91,31.09,34.05,20.72,30.11,34.05,91,89,4274.58,1191.19,194.3,18.88,3.72,0.96,
2021/05/27T11:35:03z,10:52:1c:4d:86:b6,6.01,2.0+OPENLOG+15485 MB+DS3231+BME280+PMSX003-B+PMSX003-A,87,47,64,1006.89,0,36568,0,476,24,31.75,33.31,22.24,30.73,33.31,92,90,4523.59,1272.51,178.83,9.22,2.15,1.25,21.75,30.96,33.32,20.64,30.11,33.32,91,89,4211.38,1167.89,195.57,16.96,3.09,1.6,
2021/05/27T11:37:03z,10:52:1c:4d:86:b6,6.01,2.0+OPENLOG+15485 MB+DS3231+BME280+PMSX003-B+PMSX003-A,87,46,64,1006.88,0,36424,0,596,23.75,31.39,32.26,22,30.53,32.26,92,90,4482.47,1259.84,186.4,8.19,1.35,0.96,22.3,30.81,31.81,21.07,29.75,31.81,90,88,4466.68,1219.26,196.3,9.95,1.19,0.63,
2021/05/27T11:39:03z,10:52:1c:4d:86:b6,6.01,2.0+OPENLOG+15485 MB+DS3231+BME280+PMSX003-B+PMSX003-A,88,46,64,1006.81,0,36424,0,716,24.25,34.05,35.2,22.18,32.22,35.2,97,93,4668.93,1307.96,199.78,10.6,1.6,1.18,20.47,27.97,28.9,19.78,27.78,28.9,84,84,4021.6,1100.38,176.09,11.4,1.22,0.28,
2021/05/27T11:41:03z,10:52:1c:4d:86:b6,6.01,2.0+OPENLOG+15485 MB+DS3231+BME280+PMSX003-B+PMSX003-A,88,45,64,1006.89,0,36424,0,836,23.11,31.07,31.84,21.54,30.3,31.84,91,89,4465.89,1241.89,183.44,6.79,0.96,0.68,21.33,29.43,31,20.22,28.97,31,87,86,4243.6,1160.24,185.43,11.21,2.12,1.28,
2021/05/27T11:43:03z,10:52:1c:4d:86:b6,6.01,2.0+OPENLOG+15485 MB+DS3231+BME280+PMSX003-B+PMSX003-A,88,45,64,1006.88,0,36424,0,956,23.64,31,32.44,21.8,30.25,32.44,91,89,4529.14,1266.86,182.12,6.66,2.08,0.9,21.86,28.09,29.36,20.84,27.91,29.36,85,84,4229.57,1142.95,168.62,7.61,1.34,0.62,
2021/05/27T11:45:03z,10:52:1c:4d:86:b6,6.01,2.0+OPENLOG+15485 MB+DS3231+BME280+PMSX003-B+PMSX003-A,88,45,64,1006.9,0,36392,0,1076,24.12,32.4,34.24,22.17,31.28,34.24,94,91,4529.12,1277.66,184.31,9.93,2.43,1.45,21.75,29.46,31.2,20.93,29.12,31.2,88,87,4177.93,1143.36,189.41,10.46,2.27,1.34,
2021/05/27T11:47:03z,10:52:1c:4d:86:b6,6.01,2.0+OPENLOG+15485 MB+DS3231+BME280+PMSX003-B+PMSX003-A,89,44,64,1006.88,0,36392,0,1196,23.95,32.25,34.25,22.14,31.07,34.25,93,91,4531.98,1273.16,186.71,11.43,2.23,0.89,20.12,27.81,29.05,19.77,27.81,29.05,84,84,4010.47,1090.26,183.19,10.39,0.86,0.44,
2021/05/27T11:48:59z,10:52:1c:4d:86:b6,6.01,2.0+OPENLOG+15485 MB+DS3231+BME280+PMSX003-B+PMSX003-A,89,44,64,1006.88,nan,36656,0,115,23.62,33.43,34.38,21.9,31.79,34.38,96,92,4565.07,1291.62,196.38,9.79,1.57,0.43,20.72,29.31,31.46,20.1,28.87,31.46,87,86,4217.38,1141.46,184.28,12.77,2.38,2.15,
2021/05/27T11:50:59z,10:52:1c:4d:86:b6,6.01,2.0+OPENLOG+15485 MB+DS3231+BME280+PMSX003-B+PMSX003-A,89,44,64,1006.91,0,36568,0,235,23.38,31.3,32.68,21.86,30.5,32.68,91,90,4388.84,1246.95,179.41,8.46,1.93,0.91,20.33,28.65,29.63,19.86,28.28,29.63,86,85,4055.32,1084.75,179.25,11.61,1.11,0.65,
2021/05/27T11:52:59z,10:52:1c:4d:86:b6,6.01,2.0+OPENLOG+15485 MB+DS3231+BME280+PMSX003-B+PMSX003-A,89,44,64,1006.87,0,36504,0,355,23.72,31.24,31.88,22.05,30.41,31.88,91,90,4579.97,1284.91,178.6,5.29,0.78,0.71,21.12,30.48,32.3,20.36,29.79,32.3,90,88,4149.38,1139.32,188.91,16.82,2.23,1.25,
