UTCDateTime,mac_address,firmware_ver,hardware,current_temp_f,current_humidity,current_dewpoint_f,pressure,adc,mem,rssi,uptime,pm1_0_cf_1,pm2_5_cf_1,pm10_0_cf_1,pm1_0_atm,pm2_5_atm,pm10_0_atm,pm2.5_aqi_cf_1,pm2.5_aqi_atm,p_0_3_um,p_0_5_um,p_1_0_um,p_2_5_um,p_5_0_um,p_10_0_um,pm1_0_cf_1_b,pm2_5_cf_1_b,pm10_0_cf_1_b,pm1_0_atm_b,pm2_5_atm_b,pm10_0_atm_b,pm2.5_aqi_cf_1_b,pm2.5_aqi_atm_b,p_0_3_um_b,p_0_5_um_b,p_1_0_um_b,p_2_5_um_b,p_5_0_um_b,p_10_0_um_b,gas
2021/05/26T11:26:44z,10:52:1c:4d:af:f9,6.01,2.0+OPENLOG+15485 MB+DS3231+BME280+PMSX003-B+PMSX003-A,90,40,62,1009.71,nan,36656,0,115,10.02,12.65,12.95,10.02,12.65,12.95,52,52,2223.35,603.02,68.28,1.86,0.6,0,6.54,9.87,10.49,6.54,9.87,10.49,41,41,1553,428.79,67.36,3.28,1.23,0.00,
2021/05/26T11:28:44z,10:52:1c:4d:af:f9,6.01,2.0+OPENLOG+15485 MB+DS3231+BME280+PMSX003-B+PMSX003-A,90,38,61,1009.66,0.01,36568,0,235,10.04,12.52,13.09,10.04,12.52,13.09,52,52,2132.41,589.05,61.95,1.64,0.91,0.48,6.8,10.03,11.63,6.8,10.03,11.63,42,42,1551.97,436.12,62.1,8.14,2.24,1.15,
2021/05/26T11:30:44z,10:52:1c:4d:af:f9,6.01,2.0+OPENLOG+15485 MB+DS3231+BME280+PMSX003-B+PMSX003-A,90,39,61,1009.62,0.01,36568,0,355,10.07,13.05,13.15,10.07,13.05,13.15,53,53,2209.8,597.13,68.18,1.95,0.18,0.18,6.96,9.54,10.68,6.96,9.54,10.68,40,40,1576.89,441.49,57.23,5.33,1.23,0.88,
2021/05/26T11:32:44z,10:52:1c:4d:af:f9,6.01,2.0+OPENLOG+15485 MB+DS3231+BME280+PMSX003-B+PMSX003-A,90,39,61,1009.61,0.01,36568,0,475,10.52,13.03,13.77,10.52,13.03,13.77,53,53,2338.3,621.03,68.67,3.42,0.92,0.48,7.29,10.22,12.4,7.29,10.22,12.4,43,43,1645.42,448.76,69.49,7.16,2.98,1.71,
2021/05/26T11:34:44z,10:52:1c:4d:af:f9,6.01,2.0+OPENLOG+15485 MB+DS3231+BME280+PMSX003-B+PMSX003-A,90,38,61,1009.56,0.01,36568,0,595,10.47,13.64,14.07,10.47,13.64,14.07,54,54,2297.59,631.07,75.4,2.66,0.41,0.41,7.38,10.17,12.62,7.38,10.17,12.62,42,42,1684.19,463.9,70.03,6.34,2.79,1.69,
2021/05/26T11:36:44z,10:52:1c:4d:af:f9,6.01,2.0+OPENLOG+15485 MB+DS3231+BME280+PMSX003-B+PMSX003-A,91,35,60,1009.61,0.01,36568,0,715,9.57,12.05,12.66,9.57,12.05,12.66,50,50,2115.11,568.68,69.39,1.77,0.48,0.3,6.59,10.05,11.4,6.59,10.05,11.4,42,42,1526.12,420.83,67.45,8.07,2.24,0.79,
2021/05/26T11:38:44z,10:52:1c:4d:af:f9,6.01,2.0+OPENLOG+15485 MB+DS3231+BME280+PMSX003-B+PMSX003-A,91,33,58,1009.56,0.01,36568,0,835,8.6,10.84,11.4,8.6,10.84,11.4,45,45,1896.16,521.76,62.02,2.33,1.02,0.5,5.98,8.75,9.67,5.98,8.75,9.67,36,36,1459.74,396.05,55.67,5.58,1.47,0.74,
2021/05/26T11:40:44z,10:52:1c:4d:af:f9,6.01,2.0+OPENLOG+15485 MB+DS3231+BME280+PMSX003-B+PMSX003-A,91,32,57,1009.57,0.01,36568,0,955,7.74,10.12,10.74,7.74,10.12,10.74,42,42,1759.84,478.98,63.72,2.67,0.75,0.44,5.84,7.93,9.11,5.84,7.93,9.11,33,33,1326.21,370.07,53.39,5.18,1.57,0.57,
2021/05/26T11:42:44z,10:52:1c:4d:af:f9,6.01,2.0+OPENLOG+15485 MB+DS3231+BME280+PMSX003-B+PMSX003-A,91,32,57,1009.54,0.01,36568,0,1075,8.21,10.58,11.37,8.21,10.58,11.37,44,44,1852,507.84,61.67,3.4,0.88,0.47,5.86,7.93,7.93,5.86,7.93,7.93,33,33,1340.53,370.76,52.84,1.93,0,0,
2021/05/26T11:44:44z,10:52:1c:4d:af:f9,6.01,2.0+OPENLOG+15485 MB+DS3231+BME280+PMSX003-B+PMSX003-A,91,32,57,1009.48,0.01,36568,0,1195,7.15,9.38,9.47,7.15,9.38,9.47,39,39,1727.67,460.04,53.24,2.27,0.13,0.02,5.85,7.81,9.41,5.85,7.81,9.41,33,33,1335.97,370.83,49.41,5.69,1.8,0.98,
2021/05/26T11:46:40z,10:52:1c:4d:af:f9,6.01,2.0+OPENLOG+15485 MB+DS3231+BME280+PMSX003-B+PMSX003-A,91,32,57,1009.51,nan,36656,0,115,8.6,10.12,10.31,8.6,10.12,10.31,42,42,1882.36,506.48,47.98,0.76,0.19,0.19,5.36,7.92,8.62,5.36,7.92,8.62,33,33,1324.77,367.05,47.05,4.77,1.08,0.62,
2021/05/26T11:48:40z,10:52:1c:4d:af:f9,6.01,2.0+OPENLOG+15485 MB+DS3231+BME280+PMSX003-B+PMSX003-A,91,30,55,1009.52,0.01,36568,0,235,7.15,9,9.04,7.15,9,9.04,38,38,1732.8,455.07,45.51,1.71,0.04,0.04,4.9,7.07,8.27,4.9,7.07,8.27,29,29,1176.86,334.51,51.14,3.29,1.9,0.75,
2021/05/26T11:50:40z,10:52:1c:4d:af:f9,6.01,2.0+OPENLOG+15485 MB+DS3231+BME280+PMSX003-B+PMSX003-A,91,30,55,1009.44,0.01,36568,0,355,6.83,9.37,9.61,6.83,9.37,9.61,39,39,1681.47,447.27,53.8,1.56,0.37,0.37,4.39,6.91,8.23,4.39,6.91,8.23,29,29,1209.16,325.7,50.28,4.35,2.18,0.88,
2021/05/26T11:52:40z,10:52:1c:4d:af:f9,6.01,2.0+OPENLOG+15485 MB+DS3231+BME280+PMSX003-B+PMSX003-A,92,30,56,1009.43,0.01,36568,0,475,6.23,8.17,8.75,6.23,8.17,8.75,34,34,1569.85,420.33,48.88,2.25,0.87,0.6,3.82,6.43,6.96,3.82,6.43,6.96,27,27,1091.41,304.68,52.66,2.43,0.5,0.43,
2021/05/26T11:54:40z,10:52:1c:4d:af:f9,6.01,2.0+OPENLOG+15485 MB+DS3231+BME280+PMSX003-B+PMSX003-A,92,31,57,1009.45,0.01,36568,0,595,7.21,9.45,9.84,7.21,9.45,9.84,39,39,1681.07,460.09,54.32,2.07,0.66,0.2,5.03,7.59,8.64,5.03,7.59,8.64,32,32,1200.67,333.16,55.79,3.69,1.62,0.86,
2021/05/26T11:56:40z,10:52:1c:4d:af:f9,6.01,2.0+OPENLOG+15485 MB+DS3231+BME280+PMSX003-B+PMSX003-A,92,32,57,1009.46,0.01,36568,0,715,8.11,10.09,10.12,8.11,10.09,10.12,42,42,1796.46,487.27,50.96,1.59,0.3,0,5.66,7.71,8.16,5.66,7.71,8.16,32,32,1315.5,375.52,47.93,2.14,0.62,0.28,
2021/05/26T11:58:40z,10:52:1c:4d:af:f9,6.01,2.0+OPENLOG+15485 MB+DS3231+BME280+PMSX003-B+PMSX003-A,92,30,56,1009.4,0.01,36504,0,835,7.42,9.35,9.6,7.42,9.35,9.6,39,39,1689.37,456.58,54.16,1.3,0.33,0.09,5.05,7.05,7.28,5.05,7.05,7.28,29,29,1204.16,335.56,45.19,2.28,0,0,
2021/05/26T12:00:40z,10:52:1c:4d:af:f9,6.01,2.0+OPENLOG+15485 MB+DS3231+BME280+PMSX003-B+PMSX003-A,92,29,55,1009.44,0.01,36504,0,955,6.52,8.16,8.47,6.52,8.16,8.47,34,34,1548.83,417.57,45.22,2.24,0.62,0.38,4.57,6.54,7.46,4.57,6.54,7.46,27,27,1146.7,320.41,47.04,2.68,0.89,0.89,
2021/05/26T12:02:40z,10:52:1c:4d:af:f9,6.01,2.0+OPENLOG+15485 MB+DS3231+BME280+PMSX003-B+PMSX003-A,92,29,55,1009.43,0.01,36504,0,1075,6.84,9.34,9.93,6.84,9.34,9.93,39,39,1639.6,446.03,50.24,4.03,0.72,0.5,4.31,5.95,6.38,4.31,5.95,6.38,25,25,1085.74,303.07,34.98,3.45,0.48,0.48,
2021/05/26T12:04:40z,10:52:1c:4d:af:f9,6.01,2.0+OPENLOG+15485 MB+DS3231+BME280+PMSX003-B+PMSX003-A,92,30,56,1009.33,0.01,36504,0,1195,7.23,9.53,10.63,7.23,9.53,10.63,40,40,1679.47,460.56,63.77,3.02,1.65,0.53,4.32,6.02,6.53,4.32,6.02,6.53,25,25,1091.14,303.69,39.92,2.1,0.41,0.41,
2021/05/26T12:06:36z,10:52:1c:4d:af:f9,6.01,2.0+OPENLOG+15485 MB+DS3231+BME280+PMSX003-B+PMSX003-A,92,30,56,1009.31,nan,36656,0,115,7.05,9.3,9.56,7.05,9.3,9.56,39,39,1687.47,444.98,58.35,2.02,0.09,0.09,4.9,8.54,9.26,4.9,8.54,9.26,36,36,1239.08,348.97,55.9,8.85,0.87,0.15,
2021/05/26T12:08:36z,10:52:1c:4d:af:f9,6.01,2.0+OPENLOG+15485 MB+DS3231+BME280+PMSX003-B+PMSX003-A,92,30,56,1009.32,0.01,36568,0,235,7.56,9.47,9.62,7.56,9.47,9.62,39,39,1790.78,469.49,51.31,2.42,0.22,0,5.07,6.91,7.4,5.07,6.91,7.4,29,29,1183.91,333.69,41.41,2.52,0.83,0.34,
2021/05/26T12:10:36z,10:52:1c:4d:af:f9,6.01,2.0+OPENLOG+15485 MB+DS3231+BME280+PMSX003-B+PMSX003-A,92,31,57,1009.27,0.01,36568,0,355,7.47,9.56,9.96,7.47,9.56,9.96,40,40,1736.63,477.12,48.19,2.82,0.33,0.33,4.95,7.32,8.14,4.95,7.32,8.14,30,30,1232.74,350.42,52.02,1.75,1.12,0.49,
2021/05/26T12:12:36z,10:52:1c:4d:af:f9,6.01,2.0+OPENLOG+15485 MB+DS3231+BME280+PMSX003-B+PMSX003-A,92,32,58,1009.26,0.01,36568,0,475,7.46,9.78,10.56,7.46,9.78,10.56,41,41,1801.47,481.32,52.12,3.25,1.14,0.47,5.61,7.6,8.46,5.61,7.6,8.46,32,32,1328.05,361.37,43.86,3.47,1.4,0.77,
2021/05/26T12:14:36z,10:52:1c:4d:af:f9,6.01,2.0+OPENLOG+15485 MB+DS3231+BME280+PMSX003-B+PMSX003-A,92,33,58,1009.29,0.01,36568,0,595,8.21,9.91,10.19,8.21,9.91,10.19,41,41,1783.37,485.95,50.93,1.95,0.21,0,5.83,7.64,8.08,5.83,7.64,8.08,32,32,1342.37,374.14,42.73,2.14,0.71,0.03,
