UTCDateTime,mac_address,firmware_ver,hardware,current_temp_f,current_humidity,current_dewpoint_f,pressure,adc,mem,rssi,uptime,pm1_0_cf_1,pm2_5_cf_1,pm10_0_cf_1,pm1_0_atm,pm2_5_atm,pm10_0_atm,pm2.5_aqi_cf_1,pm2.5_aqi_atm,p_0_3_um,p_0_5_um,p_1_0_um,p_2_5_um,p_5_0_um,p_10_0_um,pm1_0_cf_1_b,pm2_5_cf_1_b,pm10_0_cf_1_b,pm1_0_atm_b,pm2_5_atm_b,pm10_0_atm_b,pm2.5_aqi_cf_1_b,pm2.5_aqi_atm_b,p_0_3_um_b,p_0_5_um_b,p_1_0_um_b,p_2_5_um_b,p_5_0_um_b,p_10_0_um_b,gas
2021/06/03T00:00:41z,10:52:1c:4c:86:4,6.01,2.0+OPENLOG+15485 MB+DS3231+BME280+PMSX003-B+PMSX003-A,86,33,53,997.9,0.01,36504,0,955,6.63,8.25,9.42,6.63,8.25,9.42,34,34,1394.34,376.2,44.98,3.02,1.12,0.44,4.64,6.54,8.16,4.64,6.54,8.16,27,27,1051.71,294.84,39.32,4.04,2.61,0.71,
2021/06/03T00:02:41z,10:52:1c:4c:86:4,6.01,2.0+OPENLOG+15485 MB+DS3231+BME280+PMSX003-B+PMSX003-A,86,33,53,997.89,0.01,36504,0,1075,6.1,7.62,9.05,6.1,7.62,9.05,32,32,1417.34,355.31,34.21,3.48,1.41,0.86,4.84,6.67,7.58,4.84,6.67,7.58,28,28,1085.84,308.91,33.58,3.4,1.05,0.39,
2021/06/03T00:04:41z,10:52:1c:4c:86:4,6.01,2.0+OPENLOG+15485 MB+DS3231+BME280+PMSX003-B+PMSX003-A,86,33,53,997.94,0.01,36504,0,1195,6.32,8.16,8.93,6.32,8.16,8.93,34,34,1431.68,366.95,42.67,2.77,1.37,0.04,4.83,6.37,6.8,4.83,6.37,6.8,27,27,1095.9,307.12,29.47,2.03,0.33,0.33,
2021/06/03T00:06:37z,10:52:1c:4c:86:4,6.01,2.0+OPENLOG+15485 MB+DS3231+BME280+PMSX003-B+PMSX003-A,86,33,53,998,nan,36656,0,115,5.58,7.35,7.42,5.58,7.35,7.42,31,31,1294.19,330.93,34.65,1.53,0,0,4.9,6.28,6.93,4.9,6.28,6.93,26,26,1051.43,287.2,36.5,1.55,0.85,0.8,
2021/06/03T00:08:38z,10:52:1c:4c:86:4,6.01,2.0+OPENLOG+15485 MB+DS3231+BME280+PMSX003-B+PMSX003-A,86,33,54,998,0.01,36568,0,235,6.8,8.69,8.69,6.8,8.69,8.69,36,36,1425.49,378.51,37.96,2.76,0,0,5.36,6.93,8.72,5.36,6.93,8.72,29,29,1109.79,315.24,38.55,2.52,2.52,1.79,
2021/06/03T00:10:38z,10:52:1c:4c:86:4,6.01,2.0+OPENLOG+15485 MB+DS3231+BME280+PMSX003-B+PMSX003-A,86,33,54,998.04,0.01,36568,0,355,6.51,8.07,8.27,6.51,8.07,8.27,34,34,1411.32,366.37,37.08,1.25,0.37,0,5.19,6.84,7.58,5.19,6.84,7.58,29,29,1101.89,307.77,32.32,2.95,0.88,0,
2021/06/03T00:12:38z,10:52:1c:4c:86:4,6.01,2.0+OPENLOG+15485 MB+DS3231+BME280+PMSX003-B+PMSX003-A,86,33,54,998.02,0.01,36568,0,475,7,8.71,8.71,7,8.71,8.71,36,36,1429.76,385.17,39.07,2.21,0,0,5.44,7.38,7.98,5.44,7.38,7.98,31,31,1115.78,314.51,41.89,2.8,1.02,0,
2021/06/03T00:14:38z,10:52:1c:4c:86:4,6.01,2.0+OPENLOG+15485 MB+DS3231+BME280+PMSX003-B+PMSX003-A,86,33,54,997.96,0.01,36568,0,595,6.97,8.74,9.59,6.97,8.74,9.59,36,36,1454.17,392.93,44.17,2.66,1.34,0,5.38,6.62,7.87,5.38,6.62,7.87,28,28,1113,310.22,37.78,1.93,1.53,0.9,
2021/06/03T00:16:38z,10:52:1c:4c:86:4,6.01,2.0+OPENLOG+15485 MB+DS3231+BME280+PMSX003-B+PMSX003-A,86,33,54,997.94,0.01,36568,0,715,6.47,8.04,8.67,6.47,8.04,8.67,33,33,1399.85,363.42,35.38,2.4,0.51,0.51,5.03,7.03,7.22,5.03,7.03,7.22,29,29,1108.12,310.59,38.05,1.32,0.37,0,
2021/06/03T00:18:38z,10:52:1c:4c:86:4,6.01,2.0+OPENLOG+15485 MB+DS3231+BME280+PMSX003-B+PMSX003-A,86,33,54,997.91,0.01,36568,0,835,6.78,8.33,8.71,6.78,8.33,8.71,35,35,1409.38,369.24,40.48,1.31,0.41,0,5.25,7.12,8.35,5.25,7.12,8.35,30,30,1147.16,314.21,41.04,3.19,1.26,1.26,
2021/06/03T00:20:38z,10:52:1c:4c:86:4,6.01,2.0+OPENLOG+15485 MB+DS3231+BME280+PMSX003-B+PMSX003-A,86,33,54,997.86,0.01,36568,0,955,6.76,9.05,9.49,6.76,9.05,9.49,38,38,1498.07,381.42,42.85,3.32,0.47,0,5.04,7,7.76,5.04,7,7.76,29,29,1113.6,310.64,38.64,3.09,1.02,0.51,
